2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_get
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API REQUEST] GET https://fake-api.com/users
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_get
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_post
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API REQUEST] POST https://fake-api.com/auth/login
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API REQUEST JSON] {'username': 'admin', 'password': '123456'}
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-22 16:42:58 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_post
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST START] tests/api/test_auth_api.py::test_auth_login
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST END] tests/api/test_auth_api.py::test_auth_login
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST START] tests/api/test_user_api.py::test_get_users
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST END] tests/api/test_user_api.py::test_get_users
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST START] tests/api/test_user_api.py::test_get_user_by_id
2026-03-22 16:42:58 | INFO  | automation_framework.tests | [TEST END] tests/api/test_user_api.py::test_get_user_by_id
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_get
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API REQUEST] GET https://fake-api.com/users
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_get
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_post
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API REQUEST] POST https://fake-api.com/auth/login
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API REQUEST JSON] {'username': 'admin', 'password': '123456'}
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-22 16:44:38 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_post
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST START] tests/api/test_auth_api.py::test_auth_login
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST END] tests/api/test_auth_api.py::test_auth_login
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST START] tests/api/test_user_api.py::test_get_users
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST END] tests/api/test_user_api.py::test_get_users
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST START] tests/api/test_user_api.py::test_get_user_by_id
2026-03-22 16:44:38 | INFO  | automation_framework.tests | [TEST END] tests/api/test_user_api.py::test_get_user_by_id
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_get
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API REQUEST] GET https://fake-api.com/users
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_get
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_post
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API REQUEST] POST https://fake-api.com/auth/login
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API REQUEST JSON] {'username': 'admin', 'password': '123456'}
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-27 16:25:55 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_post
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST START] tests/api/test_auth_api.py::test_auth_login
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST END] tests/api/test_auth_api.py::test_auth_login
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST START] tests/api/test_user_api.py::test_get_users
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST END] tests/api/test_user_api.py::test_get_users
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST START] tests/api/test_user_api.py::test_get_user_by_id
2026-03-27 16:25:55 | INFO  | automation_framework.tests | [TEST END] tests/api/test_user_api.py::test_get_user_by_id
2026-03-27 16:26:20 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_get
2026-03-27 16:26:20 | INFO  | automation_framework.api_client | [API REQUEST] GET https://fake-api.com/users
2026-03-27 16:26:20 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
2026-03-27 16:26:20 | INFO  | automation_framework.api_client | [API RESPONSE] status_code=200
2026-03-27 16:26:20 | INFO  | automation_framework.api_client | [API RESPONSE BODY] {"message": "success"}
2026-03-27 16:26:20 | INFO  | automation_framework.tests | [TEST END] tests/api/test_api_client.py::test_api_client_get
2026-03-27 16:26:20 | INFO  | automation_framework.tests | [TEST START] tests/api/test_api_client.py::test_api_client_post
2026-03-27 16:26:20 | INFO  | automation_framework.api_client | [API REQUEST] POST https://fake-api.com/auth/login
2026-03-27 16:26:20 | INFO  | automation_framework.api_client | [API REQUEST HEADERS] {'Content-Type': 'application/json'}
